"Parameter","Bacteria_MAV_PCC","Flow_MAV_PCC","Flux_MAV_PCC"
"TRNSRCH",0.187,0.738,0.248
"DEP_IMP",0.157,0.207,0.114
"THBACT",0.11,0.0126,0.0899
"ALPHA_BNK",0.0644,0.226,0.0833
"GDRAIN",0.0944,0.0399,0.0716
"CH_K2",0.0607,0.3,0.0709
"CN2",0.089,0.107,0.0655
"CH_K1",0.0594,0.0721,0.0452
"WDPRCH",0.0537,0.0105,0.043
"SFTMP",0.0598,0.158,0.0417
"TDRAIN",0.0401,0.0301,0.0354
"DDRAIN",0.062,0.0809,0.0342
"RCHRG_DP",0.0626,0.0895,0.0325
"CH_N2",0.0276,0.0379,0.0248
"SMTMP",0.0314,0.114,0.0243
"SMFMX",0.0198,0.0242,0.0201
"OV_N",0.0221,0.0258,0.0192
"PRF_BSN",0.0158,0.0133,0.0165
"BACT_SWF",0.0158,0.00825,0.0161
"SURLAG",0.0119,0.0109,0.0156
"ALPHA_BF",0.015,0.0141,0.0149
"CH_N1",0.0161,0.0282,0.0141
"WDPQ",0.0138,0.00883,0.0137
"GWQMN",0.0197,0.0607,0.0134
"SOL_K",0.0137,0.0075,0.0134
"BACTKDQ",0.00912,0.0108,0.0132
"GW_REVAP",0.0247,0.0932,0.0128
"EPCO",0.0105,0.0108,0.0128
"GW_DELAY",0.0226,0.0554,0.0127
"REVAPMN",0.011,0.0216,0.0126
"ESCO",0.011,0.0073,0.0124
"SMFMN",0.014,0.0145,0.0123
"SPCON",0.0144,0.011,0.0119
"GW_SPYLD",0.0106,0.00996,0.0116
"SOL_AWC",0.0109,0.0157,0.0115
"CFRT_KG",0.0114,0.0183,0.0114
"SPEXP",0.0109,0.00902,0.0113
"ADJ_PKR",0.0119,0.0109,0.0111
"WDPRES",0.00895,0.00935,0.0109
"WOF_P",0.0108,0.0126,0.0102
"BACTMX",0.0101,0.00768,0.0102
"SLSUBBSN",0.0111,0.0212,0.01
"FRT_SURFACE",0.00944,0.00938,0.00983
"WDPS",0.0109,0.00949,0.00972
"TIMP",0.0109,0.0187,0.00946
